name,platform,release_era,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Wii Sports,Wii,post-2010,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Others,E
Super Mario Bros.,Others,pre_2000s,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Mario Kart Wii,Wii,post-2010,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Others,E
Wii Sports Resort,Wii,post-2010,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Others,E
Pokemon Red/Pokemon Blue,Others,pre_2000s,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,90.33333333333333,9.666666666666666,8.833333333333334,171.66666666666666,missing,missing
Tetris,Others,pre_2000s,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
New Super Mario Bros.,DS,post-2010,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Others,E
Wii Play,Wii,post-2010,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Others,E
New Super Mario Bros. Wii,Wii,post-2010,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Others,E
Duck Hunt,Others,pre_2000s,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Nintendogs,DS,post-2010,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,88.33333333333333,62.0,8.299999999999999,385.6666666666667,missing,missing
Mario Kart DS,DS,post-2010,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Others,E
Pokemon Gold/Pokemon Silver,Others,pre_2000s,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,90.0,23.0,8.566666666666668,285.6666666666667,missing,missing
Wii Fit,Wii,post-2010,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Others,E
Kinect Adventures!,X360,post-2010,Misc,Others,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Others,E
Wii Fit Plus,Wii,post-2010,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Others,E
Grand Theft Auto V,PS3,post-2010,Action,Others,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Others,M
Grand Theft Auto: San Andreas,PS2,post-2010,Action,Others,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Others,M
Super Mario World,Others,pre_2000s,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,72.66666666666667,41.0,5.566666666666666,2124.0,missing,missing
Brain Age: Train Your Brain in Minutes a Day,DS,post-2010,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Others,E
Pokemon Diamond/Pokemon Pearl,DS,post-2010,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,86.66666666666667,63.0,8.5,803.6666666666666,missing,missing
Super Mario Land,Others,pre_2000s,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Super Mario Bros. 3,Others,pre_2000s,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,69.33333333333333,42.666666666666664,5.3999999999999995,2129.0,missing,missing
Grand Theft Auto V,X360,post-2010,Action,Others,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Others,M
Grand Theft Auto: Vice City,PS2,post-2010,Action,Others,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Others,M
Pokemon Ruby/Pokemon Sapphire,Others,post-2010,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,91.66666666666667,50.666666666666664,8.6,434.6666666666667,missing,missing
Brain Age 2: More Training in Minutes a Day,DS,post-2010,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Others,E
Pokemon Black/Pokemon White,DS,post-2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,78.66666666666667,64.0,6.333333333333333,884.6666666666666,missing,missing
Gran Turismo 3: A-Spec,PS2,post-2010,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Others,E
Call of Duty: Modern Warfare 3,X360,post-2010,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,Others,M
Pokémon Yellow: Special Pikachu Edition,Others,pre_2000s,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,83.0,13.333333333333334,8.5,193.0,missing,missing
Call of Duty: Black Ops 3,Others,post-2010,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,85.33333333333333,61.666666666666664,7.066666666666666,2387.0,missing,missing
Call of Duty: Black Ops,X360,post-2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Others,M
